Denominazione;Codice;Sem;CFU;Gruppo;Gruppo_id;Rating;
LOW FREQUENCY COMPUTATIONAL ELECTROMAGNETICS;55692;1;5;FREE;3;;
MATHEMATICAL FINANCE II;95980;1;8;FREE;3;;
MECHANICAL SYSTEMS RELIABILITY;97502;1;6;FREE;3;;
METHODS AND MODELS FOR STATISTICAL MECHANICS;97660;1;8;FREE;3;;
MIDDLEWARE TECHNOLOGIES FOR DISTRIBUTED SYSTEMS;52533;1;5;FREE;3;;
NONLINEAR CONTROL;97469;1;5;FREE;3;;
NONPARAMETRIC STATISTICS;55702;1;8;FREE;3;;
NUMERICAL ANALYSIS FOR MACHINE LEARNING;55697;1;10;FREE;3;;
NUMERICAL ANALYSIS FOR MACHINE LEARNING;55694;1;8;FREE;3;;
PHILOSOPHY OF SCIENCE AND TECHNOLOGY;53312;1;4;FREE;3;;
PHILOSOPHY OF SCIENCE AND TECHNOLOGY;56048;1;5;FREE;3;;
PLASMA PHYSICS;97670;1;8;FREE;3;;
ROBUST CONTROL;51197;1;5;FREE;3;;
STOCHASTIC DIFFERENTIAL EQUATIONS;95975;1;8;FREE;3;;
STOCHASTIC DYNAMICAL MODELS;54074;1;8;FREE;3;;
STREAMING DATA ANALYTICS;56895;1;5;FREE;3;;
TERMODINAMICA E PROCESSI ENERGETICI;97575;1;10;FREE;3;;
COMPUTATIONAL FLUID DYNAMICS [C.I.];52030;1;8;FREE;3;;
DINAMICA DEI SISTEMI COMPLESSI;89195;1;10;FREE;3;;
MECCANICA COMPUTAZIONALE PER I GEOMATERIALI;51676;1;8;FREE;3;;
ADVANCED NUMERICAL METHODS FOR COUPLED PROBLEMS WITH APPLICATION TO LIVING SYSTEMS;52504;2;8;FREE;3;;
ADVANCED PARTIAL DIFFERENTIAL EQUATIONS;95963;2;8;FREE;3;;
ADVANCED PROGRAMMING FOR SCIENTIFIC COMPUTING;54383;2;8;FREE;3;;
ALGORITHMIC GAME THEORY;56981;2;6;FREE;3;;
APPLIED STATISTICS;52742;2;8;FREE;3;;
BIOCHIP;54085;2;5;FREE;3;;
BIOMATHEMATICAL MODELING;97661;2;8;FREE;3;;
BIOMEDICAL TECHNOLOGIES: PHILOSOPHICAL AND ETHICAL ISSUES;56828;2;3;FREE;3;;
BIOMEDICAL TECHNOLOGIES: PHILOSOPHICAL AND ETHICAL ISSUES;56827;2;5;FREE;3;;
CALCULUS OF VARIATIONS;97673;2;8;FREE;3;;
COMMUNICATION AND ARGUMENTATION;52582;2;5;FREE;3;;
COMMUNICATION AND ARGUMENTATION;52770;2;3;FREE;3;;
COMPUTATIONAL BIOLOGY OF THE HEART;99277;2;5;FREE;3;;
COMPUTATIONAL MODELING IN ELECTRONICS AND BIOMATHEMATICS;96659;2;8;FREE;3;;
COMPUTER VISION AND REVERSE ENGINEERING;97454;2;6;FREE;3;;
CRITICAL THINKING;55806;2;5;FREE;3;;
CRITICAL THINKING;55809;2;3;FREE;3;;
EMERGING TECHNOLOGIES AND SOCIETAL CHALLENGES;55807;2;5;FREE;3;;
EMERGING TECHNOLOGIES AND SOCIETAL CHALLENGES;55808;2;3;FREE;3;;
ENERGY AND CLIMATE CHANGE MODELING AND SCENARIOS;52397;2;8;FREE;3;;
FINANCIAL ENGINEERING;52505;2;8;FREE;3;;
FINTECH;55643;2;8;FREE;3;;
FISICA QUANTISTICA;88933;2;8;FREE;3;;
FRACTURE MECHANICS;92847;2;6;FREE;3;;
GROUNDWATER HYDRAULICS;98513;2;8;FREE;3;;
HIGH-TECH ENTREPRENEURSHIP;55514;2;5;FREE;3;;
HYPERMEDIA APPLICATIONS (WEB AND MULTIMEDIA);89318;2;5;FREE;3;;
INSURANCE & ECONOMETRICS;55757;2;8;FREE;3;;
INSURANCE & ECONOMETRICS;52506;2;10;FREE;3;;
LOCALIZATION, NAVIGATION AND SMART MOBILITY;54309;2;5;FREE;3;;
MATHEMATICAL MODELS AND METHODS FOR IMAGE PROCESSING;56935;2;5;FREE;3;;
MODEL IDENTIFICATION AND DATA ANALYSIS;96297;2;10;FREE;3;;
MOLECULAR MODELING OF MATERIALS;54357;2;5;FREE;3;;
NUMERICAL ANALYSIS FOR PARTIAL DIFFERENTIAL EQUATIONS;52497;2;10;FREE;3;;
ONLINE LEARNING APPLICATIONS;56894;2;5;FREE;3;;
OPTIMIZATION;95972;2;8;FREE;3;;
PERSONALITÀ, TEAM BUILDING, LEADERSHIP;52585;2;5;FREE;3;;
PERSONALITÀ, TEAM BUILDING, LEADERSHIP;52771;2;3;FREE;3;;
QUANTUM COMMUNICATIONS;52470;2;5;FREE;3;;
REACTION-DIFFUSION EQUATIONS;57266;2;8;FREE;3;;
RELIABILITY ENGINEERING AND QUANTITATIVE RISK ANALYSIS A+B;54248;2;10;FREE;3;;
SCIENTIFIC COMPUTING TOOLS FOR ADVANCED MATHEMATICAL MODELLING;56936;2;8;FREE;3;;
STATISTICAL LEARNING FOR HEALTHCARE DATA;56867;2;5;FREE;3;;
COMPUTATIONAL TECHNIQUES FOR MOLECULAR MODELING;55727;2;8;FREE;3;;
MATHEMATICAL AND PHYSICAL MODELING IN ENGINEERING [C.I.];97725;2;10;FREE;3;;
REAL AND FUNCTIONAL ANALYSIS;95958;1;8;MST;5;0;
STOCHASTIC DYNAMICAL MODELS;54074;1;8;MST;5;0;
ALGORITHMS AND PARALLEL COMPUTING;52496;1;10;MST;5;0;
MODEL IDENTIFICATION AND DATA ANALYSIS;96297;2;10;MST;5;0;
APPLIED STATISTICS;52498;2;10;MST;5;0;
BAYESIAN STATISTICS;52499;1;10;MST;5;0;
FINAL WORK;97690;2;12;MST;5;0;
